std,peak,rms,p2p,zcr,speed,label
0.221911,5.062980,0.222073,1.929129,49,0.31912,carpet
0.221767,5.067681,0.221867,1.929129,48,0.31912,carpet
0.148832,6.320252,0.148938,1.438069,51,0.31912,carpet
0.162861,6.484786,0.163078,1.787105,56,0.31912,carpet
0.265719,5.088481,0.266295,2.118717,61,0.31912,carpet
0.310099,5.398371,0.310346,2.622250,55,0.31912,carpet
0.306262,5.456385,0.307046,2.655721,50,0.31912,carpet
0.264452,5.495389,0.265111,2.437248,54,0.31912,carpet
0.187061,5.593614,0.187109,1.729127,51,0.31912,carpet
0.193553,4.087209,0.193647,1.391253,51,0.31912,carpet
0.430821,5.504389,0.433175,3.339083,59,0.37059,carpet
0.318268,4.704152,0.319974,2.459699,52,0.37059,carpet
0.319887,4.677526,0.321796,2.784012,48,0.37059,carpet
0.388268,5.131338,0.388802,3.273879,54,0.37059,carpet
0.350756,5.623900,0.354749,2.838275,52,0.37059,carpet
0.288419,3.552901,0.288693,1.868898,53,0.37059,carpet
0.388693,3.775810,0.394302,2.345671,62,0.37059,carpet
0.349211,4.253006,0.350060,2.345671,66,0.37059,carpet
0.207459,4.565554,0.210301,1.365460,53,0.37059,carpet
0.285084,5.952668,0.286894,2.713890,46,0.37059,carpet
0.313126,5.447668,0.313489,2.713890,54,0.37059,carpet
0.539689,4.672495,0.551841,3.528507,56,0.37059,carpet
0.524136,4.816160,0.535380,3.491184,57,0.37059,carpet
0.235842,5.439087,0.236515,2.249616,58,0.37059,carpet
0.352434,4.947821,0.352557,3.030817,61,0.37059,carpet
0.432233,5.579553,0.435122,3.136540,58,0.37059,carpet
0.383905,6.316267,0.384370,3.610559,54,0.37059,carpet
0.356075,3.433227,0.357406,2.452171,55,0.42206,carpet
0.381445,5.649449,0.381741,3.267221,59,0.42206,carpet
0.452362,4.763690,0.452722,3.339425,57,0.42206,carpet
0.398696,4.704117,0.399064,3.060042,63,0.42206,carpet
0.323448,3.409811,0.323739,2.199777,58,0.42206,carpet
0.378819,4.809758,0.379657,2.921946,55,0.42206,carpet
0.375186,4.860041,0.375729,2.752749,57,0.42206,carpet
0.328184,4.876518,0.328296,2.727881,56,0.42206,carpet
0.447768,4.976883,0.448489,3.359015,57,0.42206,carpet
0.466509,4.779076,0.467052,3.228240,55,0.42206,carpet
0.387809,6.150879,0.387821,3.381605,51,0.42206,carpet
0.348917,6.813938,0.350083,3.325794,55,0.42206,carpet
0.306929,5.665421,0.307254,2.366849,54,0.42206,carpet
0.475474,5.883620,0.475494,3.946730,54,0.42206,carpet
0.487922,5.730269,0.488219,3.946730,60,0.42206,carpet
0.308789,5.259666,0.309009,2.556758,51,0.42206,carpet
0.497103,5.564801,0.497714,4.125219,48,0.42206,carpet
0.142478,5.052364,0.142478,1.104171,43,0.16471,gravel
0.146302,5.605385,0.146348,1.088628,42,0.16471,gravel
0.151871,5.401375,0.151875,1.269146,49,0.16471,gravel
0.092298,4.861556,0.092318,0.831319,52,0.16471,gravel
0.091402,4.276297,0.091431,0.773492,47,0.16471,gravel
0.114566,5.204820,0.115052,0.989812,44,0.16471,gravel
0.112311,5.327669,0.112399,0.956102,50,0.16471,gravel
0.411833,9.432250,0.412153,4.399293,45,0.16471,gravel
0.432357,8.990078,0.432425,4.795038,39,0.16471,gravel
0.211771,4.270247,0.212518,1.521236,40,0.16471,gravel
0.205274,3.440095,0.205514,1.320719,39,0.16471,gravel
0.191714,5.166302,0.191718,1.584833,42,0.16471,gravel
0.183542,5.384353,0.183954,1.340938,40,0.16471,gravel
0.530280,9.342975,0.531420,5.476462,38,0.16471,gravel
0.522165,9.483883,0.523525,5.476462,42,0.16471,gravel
0.250866,9.180116,0.251043,2.725735,41,0.16471,gravel
0.255201,9.012544,0.255710,2.544827,38,0.16471,gravel
0.185353,5.015509,0.185356,1.342928,51,0.20588,gravel
0.193311,5.393546,0.193616,1.452883,44,0.20588,gravel
0.168309,6.190621,0.168687,1.692500,48,0.20588,gravel
0.330506,6.472004,0.331300,2.792397,55,0.20588,gravel
0.343349,6.243391,0.343431,3.064309,55,0.20588,gravel
0.208290,4.708830,0.209078,1.876262,54,0.20588,gravel
0.298196,4.871647,0.298644,2.671266,43,0.20588,gravel
1.040427,8.964226,1.040953,12.345459,39,0.20588,gravel
1.014690,9.176913,1.016828,12.345459,43,0.20588,gravel
0.238290,6.972250,0.241373,2.424083,45,0.20588,gravel
0.286371,5.872311,0.286584,3.342657,49,0.20588,gravel
0.233152,7.068389,0.234812,2.072929,52,0.20588,gravel
0.288701,6.601778,0.288706,2.670456,41,0.20588,gravel
0.323004,5.878911,0.324205,2.682228,35,0.20588,gravel
0.246518,4.925842,0.248317,2.284390,38,0.20588,gravel
0.259107,5.449180,0.259107,1.943714,42,0.20588,gravel
0.228754,6.154804,0.229402,1.943714,53,0.20588,gravel
0.454234,8.206116,0.456494,4.357195,43,0.24706,gravel
0.245784,5.015877,0.245832,1.992578,50,0.24706,gravel
0.990425,9.181248,0.992432,12.757693,59,0.24706,gravel
1.024645,8.887503,1.025234,12.757693,52,0.24706,gravel
0.507891,6.203111,0.508261,5.250959,40,0.24706,gravel
0.481742,6.497312,0.485247,4.119444,41,0.24706,gravel
0.482007,5.958229,0.482257,4.176806,47,0.24706,gravel
0.777231,7.279625,0.777811,7.936671,45,0.24706,gravel
0.685583,8.254929,0.685914,7.936671,41,0.24706,gravel
0.269532,3.705442,0.270511,1.838747,45,0.24706,gravel
